speaker,utterance,clean
Selinay,en toen stonden er allemaal politie mochten we niet naar binnen [ ],en toen stonden er allemaal politie mochten we niet naar binnen
Selinay,nee maar ik [ ],nee maar ik
Selinay,ohja wij dachten dat king charles erin zat [ ],ohja wij dachten dat king charles erin zat
Selinay,((laughs)),
Selinay,maar het was echt druk =,maar het was echt druk
Selinay,[ ] ik zei steeds tegen elmas vraag wat er is vraag wat er is,ik zei steeds tegen elmas vraag wat er is vraag wat er is
Selinay,nee nee daarna we vroegen uiteindelijk was er een bom ofzo =,nee nee daarna we vroegen uiteindelijk was er een bom ofzo
Selinay,((laughs)),
Selinay,ik was echt bang he,ik was echt bang he
Selinay,toen gingen we ook gelijk weg volgens mij,toen gingen we ook gelijk weg volgens mij
Selinay,moesten we vroeg naar hotel omdat je buikpijn had,moesten we vroeg naar hotel omdat je buikpijn had
Selinay,oke maar wist je nog die ene keer ook in de winter dat we naar oberhausen (.),oke maar wist je nog die ene keer ook in de winter dat we naar oberhausen
Selinay,kerstmarkt gingen,kerstmarkt gingen
Selinay,ohja tweede keer ja,ohja tweede keer ja
Selinay,maar toen uhm (1.0),maar toen uhm
Selinay,wat gebeurde er ohja,wat gebeurde er ohja
Selinay, we hadden onze vaccinaties gewoon maar we hadden nog niet ons bewijs gekregen maar we hadden wel gewoon gevaccineerd,we hadden onze vaccinaties gewoon maar we hadden nog niet ons bewijs gekregen maar we hadden wel gewoon gevaccineerd
Selinay,maar wij hadden hem gewoon nog niet [ ],maar wij hadden hem gewoon nog niet
Selinay,en toen uhh :,en toen uhh
Selinay,kregen we onze bandjes niet om naar binnen te gaan enzo,kregen we onze bandjes niet om naar binnen te gaan enzo
Selinay,dus toen zeiden ze tegen ons ja jullie mogen alleen buiten want binnen kunnen jullie corona verspreiden enzo,dus toen zeiden ze tegen ons ja jullie mogen alleen buiten want binnen kunnen jullie corona verspreiden enzo
Selinay,en toen gingen we buiten en hadden we van die bandjes gevonden ((laughs)),en toen gingen we buiten en hadden we van die bandjes gevonden
Selinay,ja ((laughs)),ja
Selinay,en toen hadden we die om ons pols heen gedaan,en toen hadden we die om ons pols heen gedaan
Selinay,maar we hadden echt lang erover gedaan,maar we hadden echt lang erover gedaan
Selinay,ja ik heb tape in mijn achterbak en dan kunnen we die gebruiken [ ],ja ik heb tape in mijn achterbak en dan kunnen we die gebruiken
Selinay,maar toen hadden we eindelijk iedereen een bandje en toen ging jij en elmas toch als eerst proberen [ ],maar toen hadden we eindelijk iedereen een bandje en toen ging jij en elmas toch als eerst proberen
Selinay,nee jij hoefde niet,nee jij hoefde niet
Selinay,iemand vroeg zo van ja waarom hoeft zij geen bandje waarom hoeft zij geen bandje,iemand vroeg zo van ja waarom hoeft zij geen bandje waarom hoeft zij geen bandje
Selinay,zei ja toen zei van elmas van ja dit is een kind die hoeft nog geen bandje ze is nog geen veertien,zei ja toen zei van elmas van ja dit is een kind die hoeft nog geen bandje ze is nog geen veertien
Selinay,oh oke ga dan maar door,oh oke ga dan maar door
Selinay,dat was wel grappig,dat was wel grappig
Selinay,en toen zagen we toch die vrouw die tegen ons ging (.),en toen zagen we toch die vrouw die tegen ons ging
Selinay,zij dacht sowieso waarom hebben zij bandjes ((laughs)),zij dacht sowieso waarom hebben zij bandjes
Selinay,((laughs)) mogen zij nog naar binnen,mogen zij nog naar binnen
Selinay,oh maar dat was wel echt grappig ((laughs)),oh maar dat was wel echt grappig
Selinay,((laughs)) (2.0),
Selinay,[ ] oh maar,oh maar
Selinay,ja :,ja
Selinay,[ ] ((laughs)),
Selinay,ja :,ja
Selinay,ja maar we zaten toen beneden in het donker,ja maar we zaten toen beneden in het donker
Selinay,we zaten toen ook in het donker omdat de lichten toen niet aan konden he [ ],we zaten toen ook in het donker omdat de lichten toen niet aan konden he
Selinay,ja ::,ja
Selinay,en toen moesten we onze telefoons opladen in een restaurant ((laughs)),en toen moesten we onze telefoons opladen in een restaurant
Selinay,[ ] ((laughs)),
Selinay,maar die man gaf nog zijn powerbank die eigenaar van het hotel,maar die man gaf nog zijn powerbank die eigenaar van het hotel
Selinay,ohja van esin enzo,ohja van esin enzo
Selinay,dat was echt grappig ((laughs)),dat was echt grappig
Gultanem,((laughs)) ja we dachten wat er gebeurt er allemaal ::,ja we dachten wat er gebeurt er allemaal
Gultanem,[ ] nee nee nee wa wa wacht,nee nee nee wa wa wacht
Gultanem,eerste keer dat we daar zo langs liepen toen,eerste keer dat we daar zo langs liepen toen
Gultanem,waren toch van die uh (.),waren toch van die uh
Gultanem,uh limousine en toen dachten we wie zit daar in enzo,uh limousine en toen dachten we wie zit daar in enzo
Gultanem,wist je nog [ ],wist je nog
Gultanem,((laughs)),
Gultanem,en toen die avond we gingen weer,en toen die avond we gingen weer
Gultanem,uhm (1.0),uhm
Gultanem,en toen,en toen
Gultanem,het was echt druk ja [ ],het was echt druk ja
Gultanem,[ ]ohja en toen,ohja en toen
Gultanem,nee baba had gestuurd papa had gestuurd,nee baba had gestuurd papa had gestuurd
Gultanem,van dat er zo een bommelding ofzo was zo een bom,van dat er zo een bommelding ofzo was zo een bom
Gultanem,en toen ((laughs)),en toen
Gultanem,waren toch mensen van het nieuws gekomen ((laughs)),waren toch mensen van het nieuws gekomen
Gultanem,((laughs)) en toen stonden we op het nieuws,en toen stonden we op het nieuws
Gultanem,((laughs)),
Gultanem,ja ::,ja
Gultanem,ohja en toen,ohja en toen
Gultanem,toen gingen we volgens mij van die crepe eten,toen gingen we volgens mij van die crepe eten
Gultanem,zo ik had zoveel van gegeten dat ik helemaal buikpijn had,zo ik had zoveel van gegeten dat ik helemaal buikpijn had
Gultanem,ik kon niet meer ((laughs)),ik kon niet meer
Gultanem,((laughs)),
Gultanem,die tweede keer toch,die tweede keer toch
Gultanem,ohja nee nee nee maar het was toch zo dat als je had gevaccineerd,ohja nee nee nee maar het was toch zo dat als je had gevaccineerd
Gultanem,dat je dan zo een code kreeg,dat je dan zo een code kreeg
Gultanem,maar je moest perse,maar je moest perse
Gultanem,veertien dagen ofzo wachten,veertien dagen ofzo wachten
Gultanem,[ ] maar dat deden wij niet,maar dat deden wij niet
Gultanem,jij zei toch voor de grap zullen we gewoon die bandjes op de grond verzamelen,jij zei toch voor de grap zullen we gewoon die bandjes op de grond verzamelen
Gultanem,= ja,ja
Gultanem,= ja maar ja ik hoefde toch niet,ja maar ja ik hoefde toch niet
Gultanem,[ ] ja,ja
Gultanem,= ohja maar volgens mij dacht zij gewoon van boeien,ohja maar volgens mij dacht zij gewoon van boeien
Gultanem,[ ] ((laughs)),
Gultanem,((laughs)),
Gultanem,[ ] oh mijn god,oh mijn god
Gultanem,maar wist je nog die tweede keer dat we naar londen gingen met dat hotel,maar wist je nog die tweede keer dat we naar londen gingen met dat hotel
Gultanem,[ ] ((laughs)),
Gultanem,(inaudible),inaudible
Gultanem,die je hoort steeds zo tring,die je hoort steeds zo tring
Gultanem,wij dachten gewoon van (.),wij dachten gewoon van
Gultanem,mensen belletje lellen dus elmas ging zo kijken toch,mensen belletje lellen dus elmas ging zo kijken toch
Gultanem,en toen moesten we blijkbaar allemaal naar beneden toe maar wij waren allemaal in onze pyjama enzo,en toen moesten we blijkbaar allemaal naar beneden toe maar wij waren allemaal in onze pyjama enzo
Gultanem,(1.0) was echt eng,was echt eng
Gultanem,= ja maar het was ook zo warm binnen we gingen ook naar buiten toch,ja maar het was ook zo warm binnen we gingen ook naar buiten toch
Gultanem,((laughs)),
Gultanem,ja,ja
Gultanem,of uh dat uh (1.0),of uh dat uh
Gultanem,hun kamer niet op slot ging,hun kamer niet op slot ging
Gultanem,= ja :,ja
Gultanem,((laughs)),
